Date : 2023-02-10 00:38:45
Directory : c:\Users\wgngu\Desktop\flask_Bank_Mar\app
Total : 1183 files,  -346081 codes, -150897 comments, -69124 blanks, all -566102 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\alias.py                                         | Python           |        -60 |         -2 |        -17 |        -79 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\bdist_egg.py                                     | Python           |       -338 |        -43 |        -77 |       -458 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\bdist_rpm.py                                     | Python           |        -25 |         -8 |         -8 |        -41 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\build.py                                         | Python           |        -30 |        -99 |        -18 |       -147 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\build_clib.py                                    | Python           |        -64 |        -27 |        -11 |       -102 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\build_ext.py                                     | Python           |       -289 |        -42 |        -53 |       -384 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\build_py.py                                      | Python           |       -239 |        -80 |        -50 |       -369 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\develop.py                                       | Python           |       -131 |        -30 |        -33 |       -194 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\dist_info.py                                     | Python           |        -98 |        -17 |        -28 |       -143 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\easy_install.py                                  | Python           |     -1,553 |       -462 |       -298 |     -2,313 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\editable_wheel.py                                | Python           |       -452 |       -262 |       -131 |       -845 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\egg_info.py                                      | Python           |       -499 |       -143 |       -122 |       -764 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\install.py                                       | Python           |        -92 |        -21 |        -27 |       -140 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\install_egg_info.py                              | Python           |        -47 |         -5 |        -12 |        -64 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\install_lib.py                                   | Python           |        -72 |        -27 |        -24 |       -123 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\install_scripts.py                               | Python           |        -54 |         -6 |        -11 |        -71 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\launcher manifest.xml                            | XML              |        -14 |         -1 |         -1 |        -16 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\py36compat.py                                    | Python           |        -79 |        -39 |        -17 |       -135 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\register.py                                      | Python           |        -11 |         -1 |         -7 |        -19 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\rotate.py                                        | Python           |        -53 |         -1 |        -11 |        -65 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\saveopts.py                                      | Python           |        -13 |         -1 |         -9 |        -23 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\sdist.py                                         | Python           |       -140 |        -35 |        -36 |       -211 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\setopt.py                                        | Python           |       -115 |        -13 |        -22 |       -150 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\test.py                                          | Python           |       -186 |        -27 |        -39 |       -252 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\upload.py                                        | Python           |        -11 |         -1 |         -6 |        -18 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\command\upload_docs.py                                   | Python           |       -171 |        -17 |        -26 |       -214 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\__init__.py                                       | Python           |        -17 |        -10 |         -9 |        -36 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py                           | Python           |       -232 |        -63 |        -83 |       -378 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\_validate_pyproject\__init__.py                   | Python           |        -25 |         -3 |         -7 |        -35 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\_validate_pyproject\error_reporting.py            | Python           |       -242 |        -26 |        -51 |       -319 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\_validate_pyproject\extra_validations.py          | Python           |        -16 |         -9 |        -12 |        -37 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\_validate_pyproject\fastjsonschema_exceptions.py  | Python           |        -20 |        -20 |        -12 |        -52 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\_validate_pyproject\fastjsonschema_validations.py | Python           |     -1,009 |         -8 |        -18 |     -1,035 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\_validate_pyproject\formats.py                    | Python           |       -143 |        -56 |        -61 |       -260 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\expand.py                                         | Python           |       -266 |       -119 |        -78 |       -463 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\pyprojecttoml.py                                  | Python           |       -322 |        -93 |        -79 |       -494 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\config\setupcfg.py                                       | Python           |       -421 |       -220 |       -122 |       -763 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\dep_util.py                                              | Python           |        -12 |         -9 |         -5 |        -26 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\depends.py                                               | Python           |        -99 |        -38 |        -40 |       -177 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\discovery.py                                             | Python           |       -314 |       -196 |        -91 |       -601 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\dist.py                                                  | Python           |       -789 |       -234 |       -200 |     -1,223 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\errors.py                                                | Python           |        -20 |        -29 |        -10 |        -59 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\extension.py                                             | Python           |        -28 |       -108 |        -13 |       -149 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\extern\__init__.py                                       | Python           |        -49 |        -15 |        -13 |        -77 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\glob.py                                                  | Python           |        -94 |        -43 |        -31 |       -168 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\installer.py                                             | Python           |        -79 |        -18 |         -8 |       -105 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\launch.py                                                | Python           |        -19 |        -10 |         -8 |        -37 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\logging.py                                               | Python           |        -20 |        -10 |         -7 |        -37 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\monkey.py                                                | Python           |        -85 |        -46 |        -35 |       -166 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\setuptools\msvc.py                                                  | Python           |       -766 |       -754 |       -184 |     -1,704 |
