Date : 2023-02-10 00:38:45
Directory : c:\Users\wgngu\Desktop\flask_Bank_Mar\app
Total : 1183 files,  -346081 codes, -150897 comments, -69124 blanks, all -566102 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\filter.py                                      | Python           |        -26 |        -33 |        -13 |        -72 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py                            | Python           |       -756 |       -133 |        -52 |       -941 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatter.py                                   | Python           |        -28 |        -52 |        -15 |        -95 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py                         | Python           |        -81 |        -42 |        -21 |       -144 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py                         | Python           |        -20 |         -2 |         -2 |        -24 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\bbcode.py                           | Python           |        -56 |        -38 |        -15 |       -109 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\groff.py                            | Python           |       -106 |        -30 |        -35 |       -171 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py                             | Python           |       -532 |       -358 |       -100 |       -990 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py                              | Python           |       -361 |       -225 |        -60 |       -646 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py                              | Python           |       -127 |        -32 |        -21 |       -180 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py                            | Python           |       -307 |       -174 |        -41 |       -522 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\other.py                            | Python           |       -102 |        -38 |        -22 |       -162 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\pangomarkup.py                      | Python           |        -50 |        -15 |        -19 |        -84 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\rtf.py                              | Python           |        -76 |        -55 |        -16 |       -147 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\svg.py                              | Python           |        -98 |        -75 |        -16 |       -189 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py                         | Python           |        -74 |        -35 |        -19 |       -128 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py                      | Python           |       -211 |        -80 |        -48 |       -339 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\lexer.py                                       | Python           |       -521 |       -253 |       -109 |       -883 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py                             | Python           |       -190 |       -102 |        -44 |       -336 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py                             | Python           |       -538 |         -2 |         -2 |       -542 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py                               | Python           |       -478 |       -686 |        -41 |     -1,205 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\modeline.py                                    | Python           |        -22 |        -12 |        -10 |        -44 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\plugin.py                                      | Python           |        -34 |        -43 |        -12 |        -89 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py                                    | Python           |        -52 |        -31 |         -9 |        -92 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\scanner.py                                     | Python           |        -44 |        -49 |        -12 |       -105 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py                                   | Python           |       -112 |        -14 |        -30 |       -156 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\style.py                                       | Python           |       -146 |        -26 |        -26 |       -198 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\styles\__init__.py                             | Python           |        -76 |        -13 |         -9 |        -98 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\token.py                                       | Python           |       -141 |        -41 |        -32 |       -214 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\unistring.py                                   | Python           |        -85 |        -18 |        -51 |       -154 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pygments\util.py                                        | Python           |       -187 |        -76 |        -46 |       -309 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\__init__.py                                   | Python           |       -222 |        -95 |        -15 |       -332 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\actions.py                                    | Python           |        -52 |       -129 |        -27 |       -208 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\common.py                                     | Python           |       -153 |       -236 |        -36 |       -425 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\core.py                                       | Python           |     -3,321 |     -1,883 |       -611 |     -5,815 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\diagram\__init__.py                           | Python           |       -383 |       -178 |        -82 |       -643 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\exceptions.py                                 | Python           |       -120 |       -108 |        -40 |       -268 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\helpers.py                                    | Python           |       -511 |       -483 |        -95 |     -1,089 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\results.py                                    | Python           |       -388 |       -305 |        -68 |       -761 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\testing.py                                    | Python           |       -222 |        -75 |        -35 |       -332 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\unicode.py                                    | Python           |       -277 |        -32 |        -44 |       -353 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\pyparsing\util.py                                       | Python           |       -154 |        -35 |        -47 |       -236 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\__init__.py                                    | Python           |       -100 |        -55 |        -28 |       -183 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\__version__.py                                 | Python           |        -10 |         -3 |         -2 |        -15 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\_internal_utils.py                             | Python           |        -23 |        -17 |         -9 |        -49 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\adapters.py                                    | Python           |       -334 |       -171 |        -80 |       -585 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\api.py                                         | Python           |        -26 |       -106 |        -26 |       -158 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\auth.py                                        | Python           |       -205 |        -47 |        -64 |       -316 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\certs.py                                       | Python           |         -8 |        -12 |         -5 |        -25 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\compat.py                                      | Python           |        -37 |        -20 |        -11 |        -68 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\cookies.py                                     | Python           |       -292 |       -188 |        -82 |       -562 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\exceptions.py                                  | Python           |        -37 |        -49 |        -56 |       -142 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\help.py                                        | Python           |        -98 |        -13 |        -21 |       -132 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\hooks.py                                       | Python           |        -14 |        -13 |         -7 |        -34 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\models.py                                      | Python           |       -595 |       -278 |       -162 |     -1,035 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\packages.py                                    | Python           |         -8 |         -5 |         -4 |        -17 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\sessions.py                                    | Python           |       -413 |       -290 |       -129 |       -832 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\status_codes.py                                | Python           |        -97 |        -22 |        -10 |       -129 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\structures.py                                  | Python           |        -40 |        -38 |        -22 |       -100 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\requests\utils.py                                       | Python           |       -572 |       -331 |       -184 |     -1,087 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\resolvelib\__init__.py                                  | Python           |        -23 |          0 |         -4 |        -27 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\resolvelib\compat\__init__.py                           | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\resolvelib\compat\collections_abc.py                    | Python           |         -5 |          0 |         -2 |         -7 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\resolvelib\providers.py                                 | Python           |        -25 |        -98 |        -11 |       -134 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\resolvelib\reporters.py                                 | Python           |         -9 |        -26 |         -9 |        -44 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\resolvelib\resolvers.py                                 | Python           |       -289 |       -115 |        -79 |       -483 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\resolvelib\structs.py                                   | Python           |       -104 |        -21 |        -41 |       -166 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\__init__.py                                        | Python           |        -90 |        -61 |        -26 |       -177 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\__main__.py                                        | Python           |       -225 |        -23 |        -35 |       -283 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_cell_widths.py                                    | Python           |       -449 |         -1 |         -2 |       -452 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_emoji_codes.py                                    | Python           |     -3,610 |          0 |         -1 |     -3,611 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_emoji_replace.py                                  | Python           |        -24 |         -1 |         -8 |        -33 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_export_format.py                                  | Python           |         -4 |        -72 |         -3 |        -79 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_extension.py                                      | Python           |         -6 |         -1 |         -4 |        -11 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_inspect.py                                        | Python           |       -189 |        -46 |        -36 |       -271 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_log_render.py                                     | Python           |        -81 |          0 |        -14 |        -95 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_loop.py                                           | Python           |        -33 |         -3 |         -8 |        -44 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_palettes.py                                       | Python           |       -301 |         -3 |         -6 |       -310 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_pick.py                                           | Python           |         -7 |         -8 |         -3 |        -18 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_ratio.py                                          | Python           |        -92 |        -49 |        -20 |       -161 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_spinners.py                                       | Python           |       -461 |        -20 |         -2 |       -483 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_stack.py                                          | Python           |         -8 |         -3 |         -6 |        -17 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_timer.py                                          | Python           |        -10 |         -5 |         -5 |        -20 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_win32_console.py                                  | Python           |       -391 |       -173 |        -99 |       -663 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_windows.py                                        | Python           |        -48 |         -9 |        -16 |        -73 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_windows_renderer.py                               | Python           |        -47 |         -6 |         -4 |        -57 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\_wrap.py                                           | Python           |        -46 |          0 |        -11 |        -57 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\abc.py                                             | Python           |        -15 |        -10 |         -9 |        -34 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\align.py                                           | Python           |       -248 |        -30 |        -34 |       -312 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\ansi.py                                            | Python           |       -176 |        -34 |        -28 |       -238 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\bar.py                                             | Python           |        -62 |        -15 |        -18 |        -95 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\box.py                                             | Python           |       -211 |       -253 |        -54 |       -518 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\cells.py                                           | Python           |        -88 |        -42 |        -25 |       -155 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\color.py                                           | Python           |       -488 |        -63 |        -65 |       -616 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\color_triplet.py                                   | Python           |        -17 |        -15 |         -7 |        -39 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\columns.py                                         | Python           |       -150 |        -19 |        -19 |       -188 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\console.py                                         | Python           |     -1,637 |       -674 |       -262 |     -2,573 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\constrain.py                                       | Python           |        -24 |         -6 |         -8 |        -38 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\containers.py                                      | Python           |       -128 |        -13 |        -27 |       -168 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\control.py                                         | Python           |       -132 |        -62 |        -32 |       -226 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\default_styles.py                                  | Python           |       -179 |          0 |        -10 |       -189 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\diagnose.py                                        | Python           |        -29 |         -1 |         -8 |        -38 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\emoji.py                                           | Python           |        -56 |        -18 |        -23 |        -97 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\errors.py                                          | Python           |         -9 |         -9 |        -17 |        -35 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\file_proxy.py                                      | Python           |        -43 |         -2 |        -10 |        -55 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\filesize.py                                        | Python           |        -43 |        -37 |        -10 |        -90 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\highlighter.py                                     | Python           |       -120 |        -77 |        -36 |       -233 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\json.py                                            | Python           |        -94 |        -32 |        -15 |       -141 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\jupyter.py                                         | Python           |        -70 |         -9 |        -23 |       -102 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\layout.py                                          | Python           |       -293 |        -80 |        -73 |       -446 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\live.py                                            | Python           |       -285 |        -44 |        -45 |       -374 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\live_render.py                                     | Python           |        -78 |        -21 |        -15 |       -114 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\logging.py                                         | Python           |       -198 |        -59 |        -24 |       -281 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\markup.py                                          | Python           |       -172 |        -35 |        -40 |       -247 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\measure.py                                         | Python           |        -80 |        -58 |        -14 |       -152 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\padding.py                                         | Python           |       -103 |        -22 |        -17 |       -142 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\pager.py                                           | Python           |        -16 |         -8 |        -11 |        -35 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\palette.py                                         | Python           |        -74 |        -11 |        -16 |       -101 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\panel.py                                           | Python           |       -205 |        -20 |        -27 |       -252 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\pretty.py                                          | Python           |       -751 |       -156 |       -104 |     -1,011 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\progress.py                                        | Python           |     -1,127 |       -366 |       -211 |     -1,704 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\progress_bar.py                                    | Python           |       -162 |        -38 |        -25 |       -225 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\prompt.py                                          | Python           |       -202 |       -120 |        -55 |       -377 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\protocol.py                                        | Python           |        -24 |        -10 |         -9 |        -43 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\region.py                                          | Python           |         -6 |         -1 |         -4 |        -11 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\repr.py                                            | Python           |       -113 |         -4 |        -36 |       -153 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\rule.py                                            | Python           |       -104 |        -10 |        -21 |       -135 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\scope.py                                           | Python           |        -60 |        -15 |        -12 |        -87 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\screen.py                                          | Python           |        -39 |         -6 |        -10 |        -55 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\segment.py                                         | Python           |       -463 |       -203 |        -74 |       -740 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\spinner.py                                         | Python           |        -94 |        -26 |        -17 |       -137 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\status.py                                          | Python           |        -94 |        -21 |        -18 |       -133 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\style.py                                           | Python           |       -554 |       -150 |        -68 |       -772 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\styled.py                                          | Python           |        -26 |         -6 |        -11 |        -43 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\syntax.py                                          | Python           |       -695 |       -150 |        -90 |       -935 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\table.py                                           | Python           |       -737 |       -150 |       -110 |       -997 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\terminal_theme.py                                  | Python           |       -135 |         -9 |        -10 |       -154 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\text.py                                            | Python           |       -846 |       -312 |       -129 |     -1,287 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\theme.py                                           | Python           |        -56 |        -39 |        -18 |       -113 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\themes.py                                          | Python           |         -3 |          0 |         -3 |         -6 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\traceback.py                                       | Python           |       -516 |        -96 |        -68 |       -680 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\rich\tree.py                                            | Python           |       -186 |        -33 |        -33 |       -252 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\six.py                                                  | Python           |       -689 |       -129 |       -181 |       -999 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\__init__.py                                    | Python           |       -338 |        -86 |        -96 |       -520 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\_asyncio.py                                    | Python           |        -61 |        -18 |        -14 |        -93 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\_utils.py                                      | Python           |        -36 |        -23 |        -10 |        -69 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\after.py                                       | Python           |        -19 |        -17 |        -11 |        -47 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\before.py                                      | Python           |        -14 |        -17 |        -11 |        -42 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\before_sleep.py                                | Python           |        -29 |        -17 |        -13 |        -59 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\nap.py                                         | Python           |        -11 |        -24 |         -9 |        -44 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\retry.py                                       | Python           |       -139 |        -36 |        -66 |       -241 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\stop.py                                        | Python           |        -42 |        -22 |        -33 |        -97 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\tornadoweb.py                                  | Python           |        -37 |        -13 |        -10 |        -60 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tenacity\wait.py                                        | Python           |       -102 |        -85 |        -46 |       -233 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tomli\__init__.py                                       | Python           |         -4 |         -4 |         -4 |        -12 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tomli\_parser.py                                        | Python           |       -502 |        -83 |       -107 |       -692 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tomli\_re.py                                            | Python           |        -63 |        -31 |        -14 |       -108 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\tomli\_types.py                                         | Python           |         -4 |         -4 |         -3 |        -11 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\typing_extensions.py                                    | Python           |     -1,081 |       -870 |       -259 |     -2,210 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\urllib3\__init__.py                                     | Python           |        -61 |        -27 |        -15 |       -103 |
| c:\Users\wgngu\Desktop\flask_Bank_Mar\venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py                                 | Python           |       -197 |        -83 |        -58 |       -338 |
